cloAtm_GNOS.007.C10.13.2024.152.46711.0122.03.0000_bin.ROX

file type: A
DATA_INTEGRETY_OCC_CLO: 100.00%
DATA_INTEGRETY_REF_CLO: 50.99%
DATA_INTEGRETY_OCC_OPE: 89.00%
DATA_INTEGRETY_REF_OPE: 50.50% 

START OF OBS CLO
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.640000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.660000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.680000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.700000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.720000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.740000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.760000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.780000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.800000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.820000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.960000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:45.980000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.020000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.040000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.060000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.080000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.100000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.120000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.140000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.160000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.180000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.200000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.220000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.240000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.260000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.280000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.300000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.320000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.340000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.360000 
C13  ['C2I', 'C6I'] 
